Mesocosm,week,compartment,shaded,N
2,0,I1,FALSE,5
2,0,I2,FALSE,0
2,0,I3,FALSE,0
2,0,IV1,FALSE,3
2,0,IV2,FALSE,2
2,0,IV3,FALSE,0
2,0,S,FALSE,5
2,0,SV,FALSE,5
2,1,I1,FALSE,3
2,1,I2,FALSE,0
2,1,I3,FALSE,2
2,1,IV1,FALSE,2
2,1,IV2,FALSE,2
2,1,IV3,FALSE,0
2,1,S,FALSE,5
2,1,SV,FALSE,3
2,2,I1,FALSE,3
2,2,I2,FALSE,3
2,2,I3,FALSE,0
2,2,IV1,FALSE,2
2,2,IV2,FALSE,4
2,2,IV3,FALSE,0
2,2,S,FALSE,2
2,2,SV,FALSE,3
2,4,I1,FALSE,2
2,4,I2,FALSE,3
2,4,I3,FALSE,1
2,4,IV1,FALSE,3
2,4,IV2,FALSE,4
2,4,IV3,FALSE,2
2,4,S,FALSE,1
2,4,SV,FALSE,0
2,6,I1,FALSE,1
2,6,I2,FALSE,5
2,6,I3,FALSE,2
2,6,IV1,FALSE,3
2,6,IV2,FALSE,5
2,6,IV3,FALSE,1
2,6,S,FALSE,0
2,6,SV,FALSE,0
2,8,I1,FALSE,0
2,8,I2,FALSE,1
2,8,I3,FALSE,6
2,8,IV1,FALSE,0
2,8,IV2,FALSE,2
2,8,IV3,FALSE,0
2,8,S,FALSE,0
2,8,SV,FALSE,8
2,10,I1,FALSE,0
2,10,I2,FALSE,0
2,10,I3,FALSE,2
2,10,IV1,FALSE,4
2,10,IV2,FALSE,1
2,10,IV3,FALSE,2
2,10,S,FALSE,0
2,10,SV,FALSE,8
2,15,I1,FALSE,0
2,15,I2,FALSE,0
2,15,I3,FALSE,0
2,15,IV1,FALSE,1
2,15,IV2,FALSE,0
2,15,IV3,FALSE,2
2,15,S,FALSE,0
2,15,SV,FALSE,13
3,0,I1,TRUE,5
3,0,I2,TRUE,0
3,0,I3,TRUE,0
3,0,IV1,TRUE,4
3,0,IV2,TRUE,1
